id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
1484387,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9316,-77.02438,Private room,120.0,31,16,1,365,0,4.69,1.0,1.0
1488282,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93441,-77.02773,Entire home/apt,132.0,2,522,2,238,46,4.76,2.0,1.0
1520425,"Union Station, Stanton Park, Kingman Park",38.90179,-76.99127,Entire home/apt,283.0,1,95,1,0,33,4.76,4.0,5.0
1537822,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93362,-77.02555,Entire home/apt,74.0,2,198,1,43,41,4.9,1.0,1.0
1571112,"Dupont Circle, Connecticut Avenue/K Street",38.91579,-77.04042,Entire home/apt,135.0,15,136,2,71,4,4.94,1.0,1.0
1628328,"Shaw, Logan Circle",38.9126,-77.01748,Entire home/apt,161.0,2,455,1,357,42,4.93,1.0,1.0
1750913,"Union Station, Stanton Park, Kingman Park",38.896683,-77.0008129,Entire home/apt,250.0,3,14,1,0,14,5.0,3.0,5.0
1778080,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92263,-77.04492,Entire home/apt,120.0,90,57,1,255,0,4.46,1.0,1.0
1789722,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93118,-77.03811,Entire home/apt,131.0,2,449,2,158,45,4.9,1.0,1.0
1813962,"Shaw, Logan Circle",38.90807,-77.03174,Entire home/apt,130.0,31,23,1,250,0,4.73,1.0,1.0
1824864,"Union Station, Stanton Park, Kingman Park",38.89864,-76.987747,Entire home/apt,125.0,2,160,1,244,60,4.93,2.0,1.0
1825234,"West End, Foggy Bottom, GWU",38.90566,-77.05131,Private room,150.0,365,11,1,365,0,4.73,1.0,1.0
1864715,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,110.0,31,16,37,363,0,4.88,1.0,1.0
1865861,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93584,-77.04107,Entire home/apt,155.0,2,15,1,111,4,4.93,2.0,2.0
1867513,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,193.0,31,25,37,365,0,4.76,2.0,2.0
1901631,"Union Station, Stanton Park, Kingman Park",38.90192,-77.00103,Entire home/apt,100.0,30,194,3,80,7,4.91,2.0,1.0
