id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31313892,Home in Washington · ★4.52 · 1 bedroom · 2 beds · 1 shared bath,159839010,Tri,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92554,-77.02332,Private room,55,31,27,2020-03-14,0.45,5,270,0,
31315484,Home in Washington · ★4.49 · 1 bedroom · 1 bed · 1 shared bath,159839010,Tri,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92482,-77.02338,Private room,45,31,55,2020-02-29,0.92,5,164,0,
31332079,Condo in Washington · 1 bedroom · 1 bed · 1 bath,195016684,Todd,,"Capitol Hill, Lincoln Park",38.8883,-76.98516,Entire home/apt,100,31,2,2020-02-15,0.04,1,0,0,
31338157,Rental unit in Washington · ★4.77 · 2 bedrooms · 3 beds · 1 bath,90117890,Jonathan,,"Shaw, Logan Circle",38.91159,-77.02533,Entire home/apt,176,3,111,2023-11-25,1.99,4,214,19,Hosted License: 5007242201002724<br />Unhosted License: 5007262201002583
31384462,Rental unit in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,32927652,Jousett,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9235275,-77.02913330000001,Entire home/apt,50,31,5,2023-10-10,0.53,4,330,5,Exempt
31388922,Condo in Washington · 1 bedroom · 1 bed · 1 bath,31990253,Kevin,,"Capitol Hill, Lincoln Park",38.87928,-76.98687,Entire home/apt,,31,1,2019-06-14,0.02,1,0,0,
31389662,Home in Washington · ★4.58 · 3 bedrooms · 4 beds · 2.5 baths,94118095,Warren,,"Capitol Hill, Lincoln Park",38.88744,-76.99268,Entire home/apt,350,2,93,2023-04-25,1.57,1,143,3,Unhosted License: 5007262201000950
31390865,Home in Washington · ★4.88 · 1 bedroom · 1 bed · 1 private bath,1158402,Laura,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.87028,-76.98517,Private room,68,3,198,2023-12-06,3.30,3,70,59,Hosted License: 5007242201000585<br />Unhosted License: 5007262201000586
31421230,Guest suite in Washington · ★4.93 · 1 bedroom · 3 beds · 1 bath,64813126,Andrew,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96353,-77.00409,Entire home/apt,182,1,91,2023-11-12,1.61,1,207,12,Hosted License: 5007242201001311
31444864,Rental unit in Washington · ★4.82 · 1 bedroom · 2 beds · 1 bath,30617329,Daniela,,"Takoma, Brightwood, Manor Park",38.95533692591295,-77.01039385631609,Entire home/apt,110,1,34,2023-11-22,0.61,1,239,5,Hosted License: 5007242201000593
