id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,baths
21308895,"Mayfair, Hillbrook, Mahaning Heights",38.8943,-76.94136,Private room,40.0,2,37,11,89,6,4.51,1,unknown
21325478,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92707,-77.02331,Private room,54.0,31,111,11,365,1,4.63,1,unknown
21326028,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91084,-77.00718,Entire home/apt,263.0,2,301,2,0,55,4.66,3.0,5.0
21354341,"Shaw, Logan Circle",38.90863,-77.02253,Entire home/apt,,31,66,1,0,0,4.89,4.0,3.0
21366569,"West End, Foggy Bottom, GWU",38.90382,-77.05144,Private room,50.0,130,0,1,0,0,unknown,1,1
21368941,"Union Station, Stanton Park, Kingman Park",38.89292,-76.98007,Entire home/apt,104.0,5,283,1,0,18,4.99,1.0,1.0
21383659,"Capitol Hill, Lincoln Park",38.87726,-76.98744,Private room,107.0,1,20,28,13,7,4.3,1.0,1.0
21383867,"Capitol Hill, Lincoln Park",38.87909,-76.98778,Shared room,38.0,1,81,28,0,4,4.47,1,unknown
21383885,"Howard University, Le Droit Park, Cardozo/Shaw",38.92149,-77.01564,Entire home/apt,,31,7,1,0,0,5.0,3.0,5.0
21384208,"Capitol Hill, Lincoln Park",38.8775,-76.98734,Shared room,25.0,1,60,28,285,26,4.55,1,unknown
21392155,"West End, Foggy Bottom, GWU",38.90719,-77.04937,Entire home/apt,110.0,31,173,6,337,0,4.91,1.0,1.0
21398898,"Near Southeast, Navy Yard",38.87715,-76.98889,Private room,33.0,1,36,28,0,3,4.5,1,unknown
21399073,"Near Southeast, Navy Yard",38.87707,-76.9876,Shared room,27.0,1,48,28,363,24,4.31,1,unknown
21414621,"Near Southeast, Navy Yard",38.87714,-76.98878,Shared room,29.0,31,8,28,365,0,4.0,1,unknown
21414624,"Capitol Hill, Lincoln Park",38.87918,-76.98947,Shared room,29.0,1,44,28,365,12,4.5,1,unknown
21422900,"Union Station, Stanton Park, Kingman Park",38.8935,-76.99832,Private room,45.0,31,106,3,263,2,4.87,1,unknown
21427161,"Brightwood Park, Crestwood, Petworth",38.95546,-77.02257,Private room,95.0,31,0,1,0,0,unknown,unknown,1
21436504,"Capitol Hill, Lincoln Park",38.89,-76.99119,Entire home/apt,,31,2,1,0,0,unknown,2,1
21436977,"Cathedral Heights, McLean Gardens, Glover Park",38.92045,-77.0748,Entire home/apt,80.0,2,226,1,47,40,4.97,1.0,1.0
21437643,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8711,-77.01347,Private room,54.0,1,281,14,179,39,4.42,1,unknown
21456367,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9326,-77.03523,Entire home/apt,79.0,2,309,1,0,44,4.84,1.0,1.0
21473050,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90684,-77.01213,Entire home/apt,122.0,3,126,1,316,28,4.71,2.0,1.0
21475020,"Shaw, Logan Circle",38.90576,-77.02533,Entire home/apt,,2,144,1,0,0,4.88,2.0,1.0
21491206,"Hawthorne, Barnaby Woods, Chevy Chase",38.98157,-77.05661,Private room,,31,5,1,0,0,5.0,1.0,1.0
21504736,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90522,-76.98539,Entire home/apt,,2,84,1,0,0,4.86,2.0,1.0
21519530,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9702,-77.01131,Private room,,31,14,2,0,0,4.57,1,unknown
21519849,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.97184,-77.01228,Private room,66.0,31,20,2,0,0,4.7,1,unknown
21520487,"Shaw, Logan Circle",38.9109,-77.03088,Entire home/apt,,31,146,1,0,0,4.86,2.0,1.0
21575396,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91692,-77.00879,Entire home/apt,542.0,3,13,4,327,7,5.0,3.0,5.0
21578601,"Shaw, Logan Circle",38.91208,-77.02798,Entire home/apt,109.0,31,115,1,0,0,4.43,2.0,1.0
21592968,"Howard University, Le Droit Park, Cardozo/Shaw",38.91561,-77.03228,Entire home/apt,,31,7,1,0,0,5.0,2.0,5.0
21597502,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90564,-76.98327,Entire home/apt,129.0,31,36,1,268,0,4.81,2.0,1.0
21642372,"Dupont Circle, Connecticut Avenue/K Street",38.90966,-77.03465,Private room,,2,72,1,0,0,4.99,1.0,1.0
21646731,"Shaw, Logan Circle",38.91128,-77.03027,Entire home/apt,,31,0,1,0,0,unknown,3,2
21668724,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93586,-77.05811,Entire home/apt,,31,1,1,0,0,unknown,1,1
21680495,"Capitol Hill, Lincoln Park",38.88156,-76.98692,Private room,,31,18,1,0,0,4.56,1.0,1.0
21681716,"Brookland, Brentwood, Langdon",38.92157,-76.98393,Private room,57.0,1,290,2,0,12,4.96,1.0,1.0
21695571,"Dupont Circle, Connecticut Avenue/K Street",38.91516,-77.03645,Entire home/apt,120.0,365,144,1,89,0,4.94,1.0,1.0
21711623,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90048,-77.01628,Entire home/apt,,31,2,1,0,0,unknown,2,1
21717185,"Takoma, Brightwood, Manor Park",38.96359,-77.01617,Entire home/apt,80.0,2,96,1,79,20,4.88,1.0,1.0
21729336,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89853,-77.02038,Entire home/apt,299.0,31,95,4,352,0,4.77,2.0,2.0
21730002,"Takoma, Brightwood, Manor Park",38.96444,-77.01746,Entire home/apt,75.0,1,332,1,0,62,4.9,unknown,1
21737338,"Woodridge, Fort Lincoln, Gateway",38.927192845687685,-76.96307839397628,Entire home/apt,225.0,1,52,2,0,52,4.68,3.0,5.0
21748348,"Union Station, Stanton Park, Kingman Park",38.89475,-76.97904,Private room,,31,2,1,0,0,unknown,1,1
21753674,"Capitol Hill, Lincoln Park",38.87753,-76.98328,Entire home/apt,61.0,31,75,2,213,5,4.93,1.0,1.0
